uid,name,province,city,area,address,lng,lat
8cb35931574a50130aa8d4fc,仙桐体育公园,广东省,深圳市,罗湖区,莲塘梧桐山(近莲塘罗湖公安局),114.18030867379079,22.56446930001374
b9cdea532c12ebce931fc9c9,石凹公园,广东省,深圳市,龙华区,广东省深圳市龙华区大浪北路,113.9874098757486,22.69981096699415
666fc5e5e0e15cc91fe9995d,深圳湾公园北湾鹭港,广东省,深圳市,南山区,深圳市南山区北湾鹭港(滨海大道南110米),113.95828163462139,22.521918865493145
b455e3f3578b6734d3ff23bb,向日葵公园,广东省,深圳市,福田区,广东省深圳市福田区中心五路与福华一路交叉口东北100米,114.05624543464606,22.540159554228097
f5e3bcae648b58c05e17c36c,下李朗公园,广东省,深圳市,龙岗区,广东省深圳市龙岗区下李朗公园(水官高速公路北),114.12950018019949,22.641320360903777
b35d1fc4f60635546c3e1b8b,草围公园,广东省,深圳市,宝安区,黄田草围村龟山路21号,113.8342033911002,22.62722835449064
d9bc3bfb1b1f365c28d7ab9b,深圳野生动物园,广东省,深圳市,南山区,广东省深圳市南山区西丽湖路4065号(西丽湖东侧),113.96610983693198,22.599024806596105
808e591910ba5d05fbf0cb80,羊台山森林公园,广东省,深圳市,宝安区,石岩文化艺术中心旁,113.94299939538024,22.667980297383117
083a55fa29ef0579246e98fd,新二村公园,广东省,深圳市,宝安区,广东省深圳市宝安区新二路107号,113.83472653685055,22.733156700476695
81c88f5a86681e0d4d554716,兴海公园,广东省,深圳市,南山区,深圳市南山区香格名苑a13,113.88161881590503,22.495048121921407
69878aa1c9d8ac5720f017c7,深圳湾公园-婚庆公园,广东省,深圳市,南山区,深圳市南山区望海路,113.9478208676283,22.494808880595045
f1dcd3c887bf3582441a32c2,深圳湾公园-观桥公园,广东省,深圳市,南山区,深圳市南山区望海路附近,113.9473347160278,22.491283575702163
d2d97054f59b341c8c55ec43,杜鹃公园,广东省,深圳市,龙岗区,深圳市龙岗区深坑路167号,114.1669175788621,22.641805970028255
f5e3bcae6e8d56bc5e17c36a,松元公园,广东省,深圳市,龙华区,广东省深圳市龙华区高尔夫大道与观光大道交汇处西北侧,114.06238356641178,22.72536224359776
a040d7cc5d6b47234e776ef4,大浪市民公园,广东省,深圳市,龙华区,广东省深圳市龙华区大浪市民公园(永乐路南),113.99789561122464,22.697468740226952
a5e736c03aef325f91114cfd,百旺公园,广东省,深圳市,南山区,广东省深圳市南山区宝安中心区沙河西路白芒村百旺公园,113.93566638868663,22.62397459613521
8e0866a12e9ff3832cb908c7,山厦公园,广东省,深圳市,龙岗区,惠华西路24号,114.11099775180405,22.704713677670345
377862fcbc4ad5023617dc5f,深圳湾公园-C区,广东省,深圳市,南山区,深圳市南山区望海路深圳湾公园内,113.94121206444252,22.489138307448773
7a077e47bf3a4b908adb73d2,桂花河滨公园,广东省,深圳市,龙华区,桂花路与观光路交叉口南50米,114.05522704641373,22.733017674507245
c79d3375a80ac9122bd7abec,大浪消防文化主题公园,广东省,深圳市,龙华区,广东省深圳市龙华区大浪消防文化主题公园(永乐路东),113.99243140505945,22.696511171069407
9cac69b4cb3d6a33dcee8b66,甲子塘社区公园,广东省,深圳市,光明区,广东省深圳市光明区凤凰街道康茂路,113.91301199967172,22.73451584532071
02085cfe74d3751ac8213deb,小沙山,广东省,深圳市,南山区,深圳市南山区滨海大道,113.95182523653126,22.52263178274142
c4e6a833054df01c2811d1e5,党建公园,广东省,深圳市,光明区,广东省深圳市光明区警民路18号东80米,113.89884019735385,22.731367586630626
586b4ab67447233de812e4f3,易家青年公园,广东省,深圳市,龙华区,大浪赖屋山东区76栋易家青年公园,113.98945708648029,22.675559750971036
f421c7210072f8bbe856faeb,高新南社区公园,广东省,深圳市,南山区,科技南五路与高新南五道交叉口东北50米,113.94224259891314,22.539039218263884
59bded2dd24528ad471a321c,田新公园,广东省,深圳市,光明区,广东省深圳市光明区科联路,113.90814638751664,22.729369927908614
e13c696bed116783b8bd63ab,南湾街道消防文化主题公园,广东省,深圳市,龙岗区,广东省深圳市龙岗区布吉新区南湾街道丹沙路沙湾居委会社区小区,114.1592465684642,22.61075697510177
f1791f3a4226a3529cf77993,东乐社区公园,广东省,深圳市,罗湖区,布心路1023,114.1354672955053,22.574259256377793
377a13b81181e0f4ea12e413,深圳湾公园-弯月山谷,广东省,深圳市,南山区,深圳市南山区深圳湾公园弯月山谷,113.94876031521552,22.508552844435975
38ae22f66d5f7b76130daa22,凤鸣街心公园,广东省,深圳市,光明区,光侨路1013号附近,113.88768553872573,22.723755782308487
10dfd8ac84f68192da2f2892,羊台山森林公园-棕榈岛,广东省,深圳市,龙华区,深圳市龙华区羊台山森林公园内,113.97918623983375,22.671659282290186
742ea4fa4de0b0c21ef74da2,滨福广场街心小公园,广东省,深圳市,南山区,广东省深圳市南山区高新南十一道28-18附近,113.94460852677108,22.527668163590025
3e119733a8183ff41e1d1121,深圳苏梅岛,广东省,深圳市,南山区,广东省深圳市南山区望海路,113.94752889431585,22.491375078269687
