number,x,y,uid
106,113.96344521290527,22.539214754507505,e41eb1fb40abb0b82fb96db2
107,113.9633056971085,22.53939810079,e41eb1fb40abb0b82fb96db2
108,113.9632759578522,22.53943437471355,e41eb1fb40abb0b82fb96db2
109,113.9631793533503,22.539589012305086,e41eb1fb40abb0b82fb96db2
110,113.963027058081,22.539876583299524,e41eb1fb40abb0b82fb96db2
111,113.96295918631236,22.54012174062037,e41eb1fb40abb0b82fb96db2
112,113.97594049214649,22.536268311901065,152cdfdac04c75e6f4b91642
113,113.97618688072157,22.536579384659166,152cdfdac04c75e6f4b91642
114,113.97629860830261,22.536651058602438,152cdfdac04c75e6f4b91642
115,113.97668130546201,22.53647656501071,152cdfdac04c75e6f4b91642
116,113.97697460787504,22.53639172177529,152cdfdac04c75e6f4b91642
117,113.97740757605843,22.536282472543842,152cdfdac04c75e6f4b91642
118,113.97759313186477,22.536236135818346,152cdfdac04c75e6f4b91642
119,113.9776537924059,22.536152764340933,152cdfdac04c75e6f4b91642
120,113.97766836922068,22.535986331865864,152cdfdac04c75e6f4b91642
121,113.97766021506716,22.53563757622219,152cdfdac04c75e6f4b91642
122,113.97775601536651,22.535214922027226,152cdfdac04c75e6f4b91642
123,113.97815187691012,22.53498978027839,152cdfdac04c75e6f4b91642
124,113.97853356217476,22.53488226994991,152cdfdac04c75e6f4b91642
125,113.97902020813918,22.534545661181753,152cdfdac04c75e6f4b91642
126,113.97950864605525,22.534214641796826,152cdfdac04c75e6f4b91642
127,113.98068655039768,22.53450233765514,152cdfdac04c75e6f4b91642
128,113.98157392711877,22.535114057161277,152cdfdac04c75e6f4b91642
129,113.98162175904277,22.535776275287375,152cdfdac04c75e6f4b91642
130,113.98164647157695,22.53612098078389,152cdfdac04c75e6f4b91642
131,113.98191141951243,22.536124987526858,152cdfdac04c75e6f4b91642
132,113.98377561823335,22.536079375604352,152cdfdac04c75e6f4b91642
133,113.98760846907118,22.536016468552248,152cdfdac04c75e6f4b91642
134,113.98814632406639,22.535974012807362,152cdfdac04c75e6f4b91642
135,113.9886075744048,22.535878993907005,152cdfdac04c75e6f4b91642
136,113.99040789629218,22.535296649242618,152cdfdac04c75e6f4b91642
137,113.9903329390618,22.53462972061629,152cdfdac04c75e6f4b91642
138,113.9907957897233,22.534439493282182,152cdfdac04c75e6f4b91642
139,113.9905741958121,22.533846815514103,152cdfdac04c75e6f4b91642
140,113.99038870388193,22.533343419868277,152cdfdac04c75e6f4b91642
