ID	plate
918	‘¡BBP019
919	‘¡BBT350
920	‘¡BW6736
921	‘¡BY4038
922	‘¡BBF926
923	‘¡BBB695
924	‘¡BAN923
925	‘¡BBH348
926	‘¡BBZ192
927	‘¡BBC177
928	‘¡BY8366
929	‘¡BY1869
930	‘¡BZ0735
931	‘¡BAF198
932	‘¡BZ4450
933	‘¡BBP899
934	‘¡BD5529
935	‘¡BBP463
936	‘¡BBR905
937	‘¡BZ6936
938	‘¡BBD896
939	‘¡BH5655
940	‘¡BW7399
941	‘¡BK4909
942	‘¡BAD349
943	‘¡BAW671
944	‘¡BX3489
945	‘¡BX6022
946	‘¡BBW235
947	‘¡BT1508
948	‘¡BAS455
949	‘¡BBT170
950	‘¡BBD660
951	‘¡BY4218
952	‘¡BAY188
953	‘¡BBU692
954	‘¡BV3376
955	‘¡BT4862
956	‘¡BW1021
957	‘¡BBY936
958	‘¡BS8641
959	‘¡BAL665
960	‘¡BB2901
961	‘¡BY5509
962	‘¡BBT183
963	‘¡BZ2880
964	‘¡BZ3398
965	‘¡BBN718
966	‘¡BX9866
967	‘¡BY2468
968	‘¡BBY169
969	‘¡BBR700
970	‘¡BS2739
971	‘¡BZ6733
972	‘¡BAJ102
973	‘¡BBV108
974	‘¡BX3056
975	‘¡BW6808
976	‘¡BN3313
977	‘¡BBH820
978	‘¡BP3588
979	‘¡BBJ546
980	‘¡BBY428
981	‘¡BBS959
982	‘¡BAL781
983	‘¡BY0556
984	‘¡BBU295
985	‘¡BV2093
986	‘¡BG3949
987	‘¡BBM592
988	‘¡BBM968
989	‘¡BAT565
990	‘¡BAD623
991	‘¡BT4833
992	‘¡BY2830
993	‘¡BK0786
994	‘¡BU3763
995	‘¡BAL262
996	‘¡BY8117
997	‘¡BBJ809
998	‘¡BBS040
999	‘¡BZ0112
1000	‘¡BN6621
1001	‘¡BV5972
1002	‘¡BBP612
1003	‘¡BAV083
1004	‘¡BBH115
1005	‘¡BBX253
1006	‘¡BY0980
1007	‘¡BZ0568
1008	‘¡BX4802
1009	‘¡BU5513
1010	‘¡BBY538
1011	‘¡BBH930
1012	‘¡BBF708
1013	‘¡BAL691
